ID_Venta,Producto,Ciudad,Categoria,Precio_Unitario,Cantidad,Fecha_Venta,Cliente,Email,Telefono,Direccion,Metodo_Pago,Estado,Comentario,Descuento
17 ,_involve,*North Jasmine,set,600  ,22  ,_2023-02-09,Dr. Monica Woods,wwilson@example.org,001-338-955-6200,"664 Berger Rapid
South Suzanne, WV 68526.",?Efectivo,Entregado,_Producto defectuoso,43 
  30,present,Larrychester,spring, 2100,28 ,2023-03-13?,Robert Bryant,wwilson@example.org,848-723-3346,"91315 Simpson Fork Apt. 336
South Mark, GA 64860 ",Tarjeta,Entregado,Producto defectuoso ,24 
 23, food,East Leah_,individual,200  ,  22,2023-03-22,Kelsey  Lopez,paul02@example.com,_(686)499-0991,"7474 Sean Pine
Frazierchester, OK 57469",Efectivo,?Entregado,Producto defectuoso,87 
 17,six,East Josephland,despite,  900,21 ,2023-09-13,Benjamin Chan,david09@example.com,857-262-8794_,".37970 Hudson Falls
Downshaven, PA 58533",?Tarjeta,Entregado,.,28 
15,wait?,_New Reginaldmouth,set,  1300,  29,2023-05-05,Dr. Monica Woods,_lweaver@example.org,(612)821-1834x900_,"7474 Sean Pine
Frazierchester, OK 57469",Efectivo,Entregado,,  83
21  ,trade,South Timothyberg,grow, 700,  10,2023-05-06_,Susan Harvey,matthew29@example.com,(175)317-5834?,"03346 Tony Spring Apt. 633
Ericberg, AK 73272",Tarjeta,En camino*, ,30
18 ,staff,Port Kelly,individual, 2100, 27, 2023-08-13,Lisa Stafford,estesjon@example.org,2661673098,"67032 Megan Cliffs Suite 876
Loveside, SD 53246",Efectivo_,Entregado_,Producto defectuoso, 19
17 ,operation_,Jessechester,popular,  300, 26,2023-09-01,Angela Taylor,ydavid@example.com.,001-096-236-8217,"67032  Megan  Cliffs  Suite  876
Loveside,  SD  53246",Tarjeta,*Entregado,Producto defectuoso,88
  26,operation*,New Reginaldmouth,leader, 2100,21  ,*2023-06-07, Susan Harvey,schmidtkrystal@example.org_,001-890-231-3672x1535,"2644 Gonzalez Mills Apt. 856
Port Frank, IN 25816",?Tarjeta,Entregado,,36  
  3,?door,Jessechester,member, 1100,25,2023-07-08,Susan Harvey,rdaugherty@example.net_,001-236-332-5014x39284,"93043 Kiara Crossroad
Port Amandachester, WI 16919",Tarjeta ,En camino,Producto defectuoso,  83
9,up,Nguyenshire,set,1100 ,  17,2023-05-05,Mark Mays,lweaver@example.org,857-262-8794.,"29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063",Tarjeta,Entregado,Producto defectuoso_, 19
 16,song,_Lake Juan,matter,1500  , 8,2023-07-08,Adam Mueller,rbrown@example.org,2661673098,"?22214 Janet Plaza Suite 903
West Christopherside, DC 40075",Tarjeta,En camino,Producto defectuoso,88
16 ,operation,_Trujillofort,grow, 1100,11,2023-06-07 ,Carla Orozco, dhuber@example.com,621-875-1265x11205,"507 Johnson Port
Banksshire, AK 72140",Tarjeta,En camino,,38  
  7,song,Trujillofort,popular, 900,24 ,2023-07-15_,Jessica Davis,rbrown@example.org,(175)317-5834,"4412 Lee Dam Apt. 872
Hunterbury, HI 03589_",*Tarjeta,En camino, ,19  
 21,under,North Brittney,finish,2100  ,22 ,2023-09-13,Lisa?Stafford,lweaver@example.org*,848-723-3346,"30768 Louis Mill
Lake Carmen, LA 47934",Efectivo,Entregado,,42
 19,song,.Valerietown,leg,2400  ,17 ,2023-10-15_,Susan Harvey ,powersjimmy@example.org,.630-469-6433,"7474 Sean Pine
Frazierchester, OK 57469*",Efectivo,En camino,,54
20 ,factor,East Jonathan,say, 1300,27 ,2023-08-17,Jessica Davis, briangonzales@example.net,(175)317-5834," 37970 Hudson Falls
Downshaven, PA 58533",Tarjeta ,_En camino,Producto defectuoso,  53
 3,base.,Andrewside,group, 2100, 12,2023-01-04,Lisa*Stafford,krystalmcdaniel@example.org,(475)336-0709x87999_,"29340 Murphy Parkway
North Robert, KS 42070*",Efectivo,Entregado,Producto defectuoso, 53
 16,strategy,East Janicemouth,letter., 1100,22  ,2023-09-13, Crystal Chambers,lweaver@example.org?,602.238.8997x526,"403 Ashley Mountains Apt. 918
Nicholasberg, MI 72538",?Tarjeta,*En camino,Producto defectuoso, 28
 26,firm,Susanton ,finish,  700, 18,2023-09-12,Karl Cardenas,hornebeth@example.com,(101)988-9703x8562,"*848 Jimmy Hill Apt. 415
Stanleyside, MA 75473",Tarjeta, En camino,Producto defectuoso,30
1  ,_administration,Brendanberg?,step,300 , 21,2023-05-06,Daniel Garcia*,?paul02@example.com,509.821.0932x647 ,"848 Jimmy Hill Apt. 415
Stanleyside, MA 75473?",Efectivo,Entregado,., 78
15,?professor,.Valerietown,rich,300 ,  10,2023-01-14,Samantha Parker.,_brianboyd@example.org,857-262-8794.,"USS Fuller
FPO AA 30334",Tarjeta*,En camino,,14 
1  ,operation,?South Thomas,pay,1600 , 21,2023-06-28,Lisa Stafford ,walkerraven@example.net,2661673098,"37970 Hudson Falls
Downshaven, PA 58533",?Tarjeta, Entregado, Producto defectuoso, 87
 22,.up,.North Thomastown,popular,  900,29  ,2023-08-27,.Angela Taylor,rdaugherty@example.net,602.238.8997x526 ,"403 Ashley Mountains Apt. 918
Nicholasberg, MI 72538",Tarjeta,*En camino,Producto defectuoso , 14
  22,just,?Vasquezborough,north,2100 ,  14,2023-07-15,Cynthia Hayes?,?matthew29@example.com,?001-096-236-8217,"PSC 2182, Box 8243
APO AP 79039",.Tarjeta,Entregado ,Producto defectuoso ,4  
  21,up,East Leah_,still,  300,16 ,2023-09-13,Sharon Lowe,lweaver@example.org,(686)499-0991?,"91315 Simpson Fork Apt. 336
South Mark, GA 64860?",Tarjeta*,Entregado,,  39
  11,operation,Lake Juan,industry,1500  ,2  ,2023-08-17,Jennifer Holmes,cwilliams@example.com,369.774.6572x373,"29340 Murphy Parkway
North Robert, KS 42070",?Efectivo,Entregado,,88
 23,song,East Jonathan_,popular, 1500,27 ,?2023-07-25,Lisa Stafford*,david09@example.com,339-100-4282x04920*,"50604 Anthony Villages
New William, ME 95446",Efectivo,Entregado,Producto defectuoso,  24
22  ,focus,Larrychester.,at,700 ,7 ,2023-03-13,Dr. Monica Woods,hornebeth@example.com,001-594-337-5421x87814," 025 Billy Row
Lisaside, AR 96338",Tarjeta,Entregado,Producto defectuoso?,30
21 ,owner,Valerietown,finish,  2000, 15,2023-03-22,Andrew  Mitchell,lharmon!example.net,001-890-231-3672x1535,"403 Ashley Mountains Apt. 918
Nicholasberg, MI 72538",Tarjeta,Entregado,Producto defectuoso, 53
12  ,just, South Timothyberg,spring,3000 ,18 ,2023-02-09,Jessica Davis ,david09@example.com,525-194-7529,"025 Billy Row
Lisaside, AR 96338",Efectivo,En camino?,Producto defectuoso,43  
28 ,dog ,Lindaport,spring,1500 ,9,2023-09-23,?Daniel Garcia,parkerandrew@example.org,339-100-4282x04920,"22214 Janet Plaza Suite 903
West Christopherside, DC 40075",Tarjeta,Entregado,,88
 23,home,_East Josephland, step, 700,7 ,2023-06-28.,Samantha Hodges,eric24@example.com,509.821.0932x647,"22214 Janet Plaza Suite 903
West Christopherside, DC 40075",?Efectivo,En camino*,?,25  
27,staff,Port Alexachester,exist,1500 ,11,2023-09-13,Cynthia Hayes,sandersbeth@example.org,870-860-8083x698,"29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063",_Efectivo,.Entregado,Producto defectuoso, 83
 23,door*,Susanton,*step,600  ,16 ,2023-03-22.,Cynthia Hayes,powersjimmy@example.org,001-557-543-1910,"4412 Lee Dam Apt. 872
Hunterbury, HI 03589",Efectivo,Entregado, ,  83
16  ,song, East Josephland,grow, 1100,25, 2023-09-23,Jennifer Holmes,.harperdanielle@example.net,602.238.8997x526,"18235 Carl Garden Apt. 025
Lake Miranda, LA 16737",Efectivo,En!camino,Producto defectuoso,78  
 29,involve,Courtneymouth,north, 700, 8, 2023-08-17,Roger Stephens,lweaver@example.org,509.821.0932x647," 29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063",Efectivo, Entregado,Producto defectuoso,42
  5,staff,.New Reginaldmouth,grow,1300  ,21  ,2023-06-21,Lisa Stafford?,karaware@example.net,001-096-236-8217,"03346 Tony Spring Apt. 633
Ericberg, AK 73272",Efectivo,Entregado,Producto defectuoso, 19
20  ,just,Larrychester,rich ,  200,10  ,2023-07-08,Jennifer?Holmes,.eric87@example.org,(101)988-9703x8562,"?91315 Simpson Fork Apt. 336
South Mark, GA 64860",Efectivo,En camino,?, 25
 6,_operation,.Larrychester,.finish, 2500,23  ,2023-08-17_,Angela Taylor?,powersjimmy@example.org*,557.193.8141,"37970 Hudson Falls
Downshaven, PA 58533_",Tarjeta,Entregado.,_Producto defectuoso, 25
8,choice,Port?Kelly,popular,700  ,  28,2023-11-20,Carla Orozco,.wliu@example.net,857-262-8794,"848 Jimmy Hill Apt. 415
Stanleyside, MA 75473.",Tarjeta,Entregado?,*Producto defectuoso,83 
9,democratic,Valerietown,much, 900,11,2023-09-13,Susan Harvey,parkerandrew@example.org,+1-105-592-6193x7727?,"91315 Simpson Fork Apt. 336
South Mark, GA 64860",.Tarjeta,En camino,*Producto defectuoso,30
5  ,choice,Nguyenshire,leg,900  ,11,*2023-07-10,Lisa Stafford,wwilson@example.org,372.568.4886x317,"93043 Kiara Crossroad
Port Amandachester, WI 16919",Tarjeta,Entregado,.,30
2  ,_trade,New Reginaldmouth,individual, 200,23 ,2023-11-20,Jessica Davis,estesjon?example.org,372.568.4886x317,"769 Dickerson Drive
Jasminemouth, HI 08895",Efectivo,Entregado ,Producto defectuoso,  72
26 ,operation,New Reginaldmouth,matter,2300 , 27, 2023-06-28,Susan Harvey,wwilson@example.org?,630-469-6433,"769 Dickerson Drive
Jasminemouth, HI 08895",Efectivo,_Entregado, , 43
10  ,trade,Kevinton.,popular ,300 ,30  ,2023-06-28,David Norton,estesjon@example.org,001-557-543-1910,"*29340 Murphy Parkway
North Robert, KS 42070",Efectivo,Entregado,,42
2  ,_education,North Thomastown,movement,  1100,16 ,2023-08-13,Brittney Guerra,wliu@example.net,557.193.8141,"29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063",Tarjeta,.En camino,Producto defectuoso, 36
27,door,Lake Juan,despite,3000 ,13  ,2023-07-15,Daniel  Garcia,harperdanielle@example.net,+1-105-592-6193x7727,"11613 Miller Ridges Suite 186
East Nicholas, MN 69937",Tarjeta,Entregado,.,  28
 29,just,.Nguyenshire,*rich,900  ,8  ,2023-08-13,Michelle Mitchell,matthew29@example.com,001-096-236-8217,"769 Dickerson Drive
Jasminemouth, HI 08895",Efectivo,Entregado,, 18
17 ,kitchen,Briannaport,job ,  1500,17 ,2023-05-05,Carla Orozco,steelejulian@example.net,491-474-2586,"403 Ashley Mountains Apt. 918
Nicholasberg, MI 72538",Tarjeta,En camino,Producto defectuoso, 39
8,staff,North Thomastown,group,2500  , 26,2023-01-14 ,Sean Mitchell*,.karaware@example.net,(101)988-9703x8562,"025 Billy Row
Lisaside, AR 96338",Efectivo,Entregado_,Producto defectuoso,  19
27,choice*,Milesburgh,at,700 ,  8,2023-05-06,David Norton,briangonzales@example.net,372.568.4886x317,"848?Jimmy?Hill?Apt.?415
Stanleyside,?MA?75473",Tarjeta*,Entregado ,Producto defectuoso, 24
  20,wait,Valerietown.,individual,  1300, 27,2023-01-14.,Robert Bryant,dhuber@example.com,(475)336-0709x87999,"29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063",Efectivo,En camino,Producto defectuoso.,27
  7,worry,_Larrychester,?individual,700  ,  16,2023-06-07,Benjamin Chan?,lharmon@example.net,(101)988-9703x8562,"848 Jimmy Hill Apt. 415
Stanleyside, MA 75473",Efectivo,?En camino,,  18
20  ,professor ,Andrewside,group, 1500,16 ,2023-09-13,Susan Harvey,*powersjimmy@example.org,525-194-7529,"67032 Megan Cliffs Suite 876
Loveside, SD 53246",Tarjeta,Entregado,Producto defectuoso,4  
9,education,Susanton,industry,  200, 10,2023-01-04.,Dr. Monica Woods,rbrown@example.org,?(314)325-7035x737,"93043 Kiara Crossroad
Port Amandachester, WI 16919",Efectivo,En camino,,88
13  ,firm,Courtneymouth,movement, 1100,  21,2023-08-13,Juan Manning,eric24@example.com,(101)988-9703x8562,"29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063*",Efectivo,Entregado,Producto defectuoso,74 
14 , professor,East  Brittany,budget, 300, 8, 2023-07-08,Michelle?Mitchell,krystalmcdaniel@example.org,001-890-231-3672x1535,"848 Jimmy Hill Apt. 415
Stanleyside, MA 75473",Tarjeta,?Entregado, , 36
  7,under,Valerietown,member, 700, 18,2023-09-13,Karl Cardenas, karaware@example.net,(175)317-5834.,"2644 Gonzalez Mills Apt. 856
Port Frank, IN 25816_",Efectivo,Entregado,,4 
 25,factor,New!Reginaldmouth,leader?,2300 , 23,2023-05-05.,Jennifer Holmes,wwilson@example.org,?2661673098,"769 Dickerson Drive
Jasminemouth, HI 08895",Tarjeta_,En camino,, 4
6 ,song,.Milesburgh,member,  900,13 ,_2023-04-14,Jennifer Holmes,schmidtkrystal@example.org,369.774.6572x373,"664 Berger Rapid
South Suzanne, WV 68526.",*Efectivo,En camino,Producto defectuoso,  78
 5,professor,.East Leah,at, 200, 27,2023-07-08 ,.Alan Bird,lweaver@example.org,369.774.6572x373,"507 Johnson Port
Banksshire, AK 72140",.Tarjeta,En camino*,,  28
  29,under,Trujillofort.,popular, 900, 16,2023-07-15,Carla Orozco,rdaugherty@example.net,001-096-236-8217,"_29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063",*Tarjeta,En camino,Producto defectuoso.,21  
3 ,home,Lake Juan_,industry?,600  , 15,2023-10-15 ,*Sharon Lowe,edward94@example.org,(686)499-0991,"915  Mathis  Camp  Apt.  447
Thomastown,  MS  44338",Tarjeta,?En camino,,21 
  21,dog,Brendanberg,increase,300  ,12  ,2023-09-13,Jessica Davis,briangonzales@example.net,509.821.0932x647,"22214 Janet Plaza Suite 903
West Christopherside, DC 40075",Tarjeta,Entregado*, Producto defectuoso,18 
 11,home,Kevinton,whom, 2400,  15,2023-07-15,Mark Mays,eric87@example.org ,(314)325-7035x737*,"493 Cameron Ramp
Veronicatown, MI 81010*",Tarjeta,Entregado,Producto defectuoso,  74
4  ,if,Kevinton,grow,  1100,  10, 2023-01-14,Angela Taylor,wwilson@example.org*,?+1-105-592-6193x7727,"769 Dickerson Drive
Jasminemouth, HI 08895",Tarjeta,En camino.,Producto defectuoso, 14
 23,six_,Trujillofort*,_leg,700  ,11,2023-03-22,Benjamin Chan_,dhuber@example.com,*(612)821-1834x900,"22214 Janet Plaza Suite 903
West Christopherside, DC 40075.",.Tarjeta,Entregado_,_Producto defectuoso,19  
2 ,focus,Brendanberg,_grow,  700,  26,.2023-07-15,Roger Stephens,ydavid@example.com,525-194-7529,"*9978 Kenneth Plaza Suite 069
Monicafurt, NM 39529", Tarjeta,Entregado,,43  
  7,education,_Courtneymouth,budget,2500 ,23 ,2023-03-14,David Norton,lharmon@example.net*,509.821.0932x647,"91315!Simpson!Fork!Apt.!336
South!Mark,!GA!64860",Tarjeta,En camino?,Producto defectuoso,97 
  12,worry, East Janicemouth,leader,  300,11,.2023-03-22,Lisa Stafford,wwilson@example.org,641-800-6599x2234,"USS Fuller
FPO AA 30334",Tarjeta,En camino?,,83 
 22,staff,New Reginaldmouth.,.whom,2500  ,  18,2022-12-04,Roger!Stephens,eric87?example.org,(686)499-0991,"403 Ashley Mountains Apt. 918
Nicholasberg, MI 72538",Tarjeta,_En camino,,27
  6,up,Milesburgh,north,1600 , 29,2023-08-27,Samantha Hodges,estesjon@example.org*,*001-594-337-5421x87814,"7474 Sean Pine
Frazierchester, OK 57469",Tarjeta,Entregado.,,97 
15,*education,East!Leah,set,  900, 21,2023-07-08,Susan Harvey,hornebeth@example.com,339-100-4282x04920,"30768 Louis Mill
Lake Carmen, LA 47934",Tarjeta*,En*camino,,27
14  ,democratic,West Charles,popular,2000  ,2 ,2023-06-21,Roger Stephens*,matthew29?example.com,.(475)336-0709x87999,"7474 Sean Pine
Frazierchester, OK 57469",Tarjeta,Entregado,,25  
7  ,staff,East  Jonathan,job,1500 ,11, 2022-12-04,.Charles Williams,matthew29@example.com?,001-096-236-8217,"93043 Kiara Crossroad
Port Amandachester, WI 16919",_Tarjeta,En camino,?,  87
11 ,base,New Reginaldmouth,popular,  2300, 22,2023-06-06,Mark Mays*,ydavid@example.com, 001-594-337-5421x87814,"37970?Hudson?Falls
Downshaven,?PA?58533",Tarjeta,Entregado,,  78
27,if,Jodichester,job, 2100,26 ,2023-06-06,Samantha Hodges,edward94@example.org,372.568.4886x317,"915 Mathis Camp Apt. 447
Thomastown, MS 44338",Tarjeta,Entregado,,98
18 ,_just,Courtneymouth,step,  1500,  23,2023-11-20,Brittney Guerra,paul02@example.com,491-474-2586,"USS Fuller
FPO AA 30334",Tarjeta,En camino,Producto defectuoso,72  
4 ,factor,North Brittney,north,1500  ,22  ,2023-09-12,Samantha Parker,eric24@example.com?,372.568.4886x317,"50604 Anthony Villages
New William, ME 95446",Tarjeta, Entregado,Producto*defectuoso,  97
 5,focus,*Lindaport,at,800  , 16,2023-01-18,_Crystal Chambers,brianboyd@example.org.,525-194-7529,"493 Cameron Ramp
Veronicatown, MI 81010",Tarjeta ,.En camino,.Producto defectuoso, 14
8,education,.Kevinton,member,2100 ,9,2023-09-13,David Scott,powersjimmy@example.org,621-875-1265x11205,"PSC*2182,*Box*8243
APO*AP*79039",Efectivo?,En camino.,Producto defectuoso,43  
 22,staff,North Jasmine.,.pay,  2800,  18,2023-09-23,Kelsey Lopez,edward94@example.org*,?001-594-337-5421x87814,"915 Mathis Camp Apt. 447
Thomastown, MS 44338",*Efectivo,Entregado,Producto defectuoso,78 
11 ,door,West Charles,north,1100 ,22  ,2023-07-10,Juan Manning ,schmidtkrystal@example.org,641-800-6599x2234,"PSC 2182, Box 8243
APO AP 79039",Efectivo ,Entregado ,Producto defectuoso,25 
  23,education,Kevinton,increase, 200,9,2023-08-27,Samantha Hodges,brianboyd@example.org,372.568.4886x317,"7474 Sean Pine
Frazierchester, OK 57469_",Efectivo,.Entregado,Producto defectuoso,  21
 10,strategy,New?Reginaldmouth,spring, 300, 30,2023-08-17_,Samantha Hodges,edward94@example.org ,509.821.0932x647_,"*915 Mathis Camp Apt. 447
Thomastown, MS 44338",Efectivo,Entregado ,,36  
 22,create,Port Kelly,_industry,300  ,14  ,2023-09-12,Dr. Monica Woods,edward94@example.org*,001-338-955-6200_,"18235 Carl Garden Apt. 025
Lake Miranda, LA 16737",Efectivo,Entregado,?,54
  5,base,West Charles,group,900  ,  14,2023-06-28,Carla Orozco?,hornebeth@example.com,*(314)325-7035x737,"0262 Cheryl Union
Sampsonfurt, ME 63401",Efectivo,En camino,,36 
12  ,_professor,Courtneymouth,movement,1100 ,14  ,2023-01-04,Jennifer Holmes,steelejulian@example.net,001-096-236-8217,"0827 Jill Cape Suite 299
Angieport, DC 15542", Efectivo,En camino,,12  
1  ,if, Port Kelly,forward, 1100,  16,2022-12-04,Cynthia Hayes,eric24*example.com,_602.238.8997x526,"37970*Hudson*Falls
Downshaven,*PA*58533",Tarjeta,En camino,Producto defectuoso,49 
19 , food,East Janicemouth ,north,2100  ,25,2023-07-10,.Sean Mitchell,wliu?example.net,?630-469-6433,"403 Ashley Mountains Apt. 918
Nicholasberg, MI 72538.",Tarjeta,Entregado,Producto defectuoso,  24
7 ,dog_,East?Brittany,budget,2500 ,13 ,2023-06-17,Alan Bird,brianboyd@example.org,001-594-337-5421x87814," 03346 Tony Spring Apt. 633
Ericberg, AK 73272",Tarjeta,En camino,?,39 
23  ,administration,?East Jonathan,pay*,  2100,11,2023-09-01,Angela?Taylor,vhill@example.org,001-096-236-8217_,"507 Johnson Port
Banksshire, AK 72140",Tarjeta,.En camino,,25 
3  ,under,Valerietown,pay,  700,30 ,?2023-10-15,Dr. Monica Woods,eric87*example.org,2661673098,"18235 Carl Garden Apt. 025
Lake Miranda, LA 16737",Tarjeta,En camino,Producto defectuoso_,12  
15,firm ,New Reginaldmouth,north,  800,  15,2023-07-15,Carla Orozco,eric87@example.org,630-469-6433,"29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063_",Tarjeta?, En camino,Producto defectuoso,39  
6 ,trade,?Jessechester,leg_,2400 , 21,*2023-01-14,Adam Mueller,vhill@example.org,602.238.8997x526,"?664 Berger Rapid
South Suzanne, WV 68526",Efectivo.,Entregado,,21 
 13,kitchen,Lake*Juan,despite, 700,  13,2023-07-08,Benjamin Chan, wwilson@example.org,870-860-8083x698,"30768 Louis Mill
Lake Carmen, LA 47934",Efectivo?,Entregado.,, 36
23  ,strategy,East Brittany,pay,  2600, 14,2023-11-20,Michelle Mitchell,.sandersbeth@example.org,630-469-6433,"03346 Tony Spring Apt. 633
Ericberg, AK 73272 ",Tarjeta,Entregado,., 18
  4,create,Lake Juan*,*finish, 2100,  15,2023-08-27,Andrew Mitchell,powersjimmy  example.org,857-262-8794,"233 Peterson Canyon
Tranmouth, ND 40770",Efectivo,En camino,Producto defectuoso ,27
1 ,involve,Briannaport,finish,900 ,  10,2023-07-15,.Karl Cardenas,wliu  example.net,001-419-330-3873x87349.,"7474 Sean Pine
Frazierchester, OK 57469_",Efectivo,Entregado,Producto defectuoso,55  
  28,if,South Thomas,popular, 1100,17  ,2023-05-06 ,Mark Mays,sandersbeth@example.org,641-800-6599x2234,"30768 Louis Mill
Lake Carmen, LA 47934",Tarjeta,Entregado,Producto defectuoso,18 
5 ,food,Larrychester,at,700 ,11,2023-09-12,David!Norton,wliu@example.net,372.568.4886x317,"848 Jimmy Hill Apt. 415
Stanleyside, MA 75473 ",Tarjeta,Entregado,Producto defectuoso?,30
20 ,door,East Janicemouth,job,  300,11,_2023-06-06,Larry Welch,?david09@example.com,372.568.4886x317,"2644 Gonzalez Mills Apt. 856
Port Frank, IN 25816",Tarjeta,Entregado,,  19
28 ,six,Lake Juan,*whom, 700, 23,2023-01-14,Alan*Bird,vhill@example.org,001-338-955-6200,"*PSC 2182, Box 8243
APO AP 79039",Tarjeta ,Entregado,Producto defectuoso,  55
10  ,song,West!Charles,whom.,700 ,26  ,2022-12-04,Samantha  Parker,edward94@example.org,857-262-8794,"493 Cameron Ramp
Veronicatown, MI 81010*",Efectivo,*Entregado, , 21
  21,_dog,Jodichester,leg,  900,  28,2023-08-13, Roger Stephens,steelejulian@example.net*,509.821.0932x647_,"?29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063",Tarjeta,Entregado,Producto defectuoso,30
